"filename", "language", "JavaScript", "source.markdown.math", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\TinySwordJS\README.md", "source.markdown.math", 0, 120, 0, 0, 0, 0, 42, 162
"d:\TinySwordJS\index.html", "HTML", 0, 0, 0, 200, 0, 0, 23, 223
"d:\TinySwordJS\src\Artilleries\Cannon.js", "JavaScript", 101, 0, 0, 0, 0, 1, 34, 136
"d:\TinySwordJS\src\Artilleries\Projectile.js", "JavaScript", 217, 0, 0, 0, 0, 3, 36, 256
"d:\TinySwordJS\src\custom\Rectangle2D.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"d:\TinySwordJS\src\entities\Entity.js", "JavaScript", 64, 0, 0, 0, 0, 0, 11, 75
"d:\TinySwordJS\src\entities\KingPig.js", "JavaScript", 288, 0, 0, 0, 0, 1, 68, 357
"d:\TinySwordJS\src\entities\Pig.js", "JavaScript", 267, 0, 0, 0, 0, 1, 64, 332
"d:\TinySwordJS\src\entities\PigWithBomb.js", "JavaScript", 399, 0, 0, 0, 0, 2, 88, 489
"d:\TinySwordJS\src\entities\PigWithBoxes.js", "JavaScript", 396, 0, 0, 0, 0, 1, 85, 482
"d:\TinySwordJS\src\entities\PigWithMatch.js", "JavaScript", 195, 0, 0, 0, 0, 4, 50, 249
"d:\TinySwordJS\src\entities\Player.js", "JavaScript", 384, 0, 0, 0, 0, 7, 94, 485
"d:\TinySwordJS\src\inputs\KeyBoardInputs.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"d:\TinySwordJS\src\inputs\MouseInput.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"d:\TinySwordJS\src\level\LevelManager.js", "JavaScript", 176, 0, 0, 0, 0, 0, 38, 214
"d:\TinySwordJS\src\level\Levels.js", "JavaScript", 28, 0, 0, 0, 0, 1, 5, 34
"d:\TinySwordJS\src\main\Game.js", "JavaScript", 369, 0, 0, 0, 0, 13, 117, 499
"d:\TinySwordJS\src\main\Main.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"d:\TinySwordJS\src\main\css\base.css", "PostCSS", 0, 0, 0, 0, 210, 22, 32, 264
"d:\TinySwordJS\src\main\css\canvas.css", "PostCSS", 0, 0, 0, 0, 247, 21, 36, 304
"d:\TinySwordJS\src\main\css\game.css", "PostCSS", 0, 0, 0, 0, 550, 46, 67, 663
"d:\TinySwordJS\src\main\css\optn.css", "PostCSS", 0, 0, 0, 0, 94, 19, 16, 129
"d:\TinySwordJS\src\main\css\sidebar.css", "PostCSS", 0, 0, 0, 0, 124, 23, 22, 169
"d:\TinySwordJS\src\main\editor.html", "HTML", 0, 0, 0, 173, 0, 11, 24, 208
"d:\TinySwordJS\src\main\game.html", "HTML", 0, 0, 0, 98, 0, 0, 24, 122
"d:\TinySwordJS\src\main\js\canvas.js", "JavaScript", 363, 0, 0, 0, 0, 53, 98, 514
"d:\TinySwordJS\src\main\js\deathAnimation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TinySwordJS\src\main\js\enemies.js", "JavaScript", 20, 0, 0, 0, 0, 0, 7, 27
"d:\TinySwordJS\src\main\js\export.js", "JavaScript", 74, 0, 0, 0, 0, 1, 15, 90
"d:\TinySwordJS\src\main\js\floating.js", "JavaScript", 68, 0, 0, 0, 0, 5, 18, 91
"d:\TinySwordJS\src\main\js\history.js", "JavaScript", 78, 0, 0, 0, 0, 2, 12, 92
"d:\TinySwordJS\src\main\js\import.js", "JavaScript", 78, 0, 0, 0, 0, 5, 18, 101
